,Rho_StrLen_VarFreq,P_StrLen_VarFreq,Rho_Freq_StrLen,P_Freq_StrLen,Rho_Freq_VarStrLen_NOVAR0,P_Freq_VarStrLen_NOVAR0,Rho_Freq_MeanStrLen_NOVAR0,P_Freq_MeanStrLen_NOVAR0,Rho_VarStrLen_MeanStrLen_NOVAR0,P_VarStrLen_MeanStrLen_NOVAR0,Steiger_t_Freq_VarStrLen_MeanStrLen_NOVAR0,Steiger_p_Freq_VarStrLen_MeanStrLen_NOVAR0,Rho_Freq_VarStrLen_VAR0,P_Freq_VarStrLen_VAR0,Rho_Freq_MeanStrLen_VAR0,P_Freq_MeanStrLen_VAR0,Rho_VarStrLen_MeanStrLen_VAR0,P_VarStrLen_MeanStrLen_VAR0,Steiger_t_Freq_VarStrLen_MeanStrLen_VAR0,Steiger_p_Freq_VarStrLen_MeanStrLen_VAR0
Campa (Axininca) random(geometric length),-0.4529670753295285,4.043587525502018e-06,-0.29639918472677534,0.0,-0.6307746291487786,3.179472822147072e-07,-0.8574663593729688,1.257705827167285e-16,0.6837442809996647,1.2089184155642836e-08,3.8686228760449577,0.00031183601740627305,-0.7649285403264626,8.139834745398428e-21,-0.8831818950797403,1.185039126849696e-34,0.7994946375078795,7.235932159320716e-24,3.9809915930855855,0.0001309827721682908
Kabyle random(geometric length),-0.5644532247912053,1.9588158635478935e-05,-0.39572702705938617,0.0,-0.6871817909955691,5.150102330375718e-12,-0.8840490284408028,1.7424879136460045e-26,0.7905528107959524,1.2274981252550313e-17,5.510722460131188,4.960514252018743e-07,-0.7410379993577877,8.872937951558205e-29,-0.8653011026488606,1.189624660192047e-48,0.8156116197182943,6.650173701936048e-39,5.059873278083306,1.1736890075910396e-06
Ewe random(geometric length),-0.6085978790074675,1.9016847379234773e-05,-0.4084835456142609,0.0,-0.5715031611483092,1.1930978322010223e-09,-0.8328428959457278,7.00544143717729e-26,0.7515684587576049,1.123632278787584e-18,6.441784857521911,5.146952309086259e-09,-0.7075028046596538,4.5544031435197674e-31,-0.8187250401672043,1.2572744830782528e-48,0.7852677067984689,2.953683288747973e-42,4.127908606128186,5.443570401522417e-05
Barasana random(geometric length),-0.5274102971688367,3.816179074238319e-06,-0.34925277218840645,0.0,-0.4027979919628768,0.000132447429819789,-0.8979694539847093,2.499878816439502e-31,0.3898287601364284,0.00022615219078024831,8.189140958415893,2.946875955751135e-12,-0.7069037721748312,3.307616135725406e-27,-0.8477724107588375,2.0444322719526777e-48,0.6589661925545391,1.1558382008703063e-22,4.3079900696800975,2.7961781737763453e-05
Polish random(geometric length),-0.5369148088493393,1.989622419891842e-05,-0.36089711329744484,0.0,-0.6596544014154819,1.640180956248229e-10,-0.7015570216280899,3.352148855720799e-12,0.6908833687235988,9.608314859205402e-12,0.6606654832874631,0.5109648270736259,-0.5870399856933308,7.745043015074473e-13,-0.8210890951392537,1.7094310595387159e-31,0.5748187150330213,2.921416200844308e-12,4.830646147878818,4.028280138860271e-06
Hebrew random(geometric length),-0.5908837533840098,1.925855893836039e-05,-0.40089801499069055,0.0,-0.5385212153543479,3.6633632183771413e-07,-0.8136662355286903,1.3903343044640507e-19,0.513950267132775,1.489159688023682e-06,4.067671740287769,0.00011617472865050962,-0.564829119240578,4.4016772639784666e-13,-0.8189679452108375,7.451875237652128e-35,0.5592863024816064,8.292445660963551e-13,5.397389658003571,2.9216344499011983e-07
Malagasy random(geometric length),-0.5951292656070604,6.654904464035574e-07,-0.36635822935025847,0.0,-0.30307426821631267,0.006281653706577904,-0.7823865541794034,1.03877311382489e-17,0.5192803459426756,8.000335629144326e-07,6.823969571054518,1.7874572904433027e-09,-0.7297059367064892,7.10098227924857e-28,-0.8113003242888217,1.1442269625126986e-38,0.7134474396736808,3.474667190227065e-26,2.427638083437907,0.01632833701114925
French random(geometric length),-0.6085697518420898,3.49947002676336e-06,-0.3812901485769246,0.0,-0.6358497299599698,8.110049134748865e-11,-0.8725913427312473,3.052196918409266e-27,0.6949612565814591,2.2412053254260222e-13,5.432477702672466,5.69244556061244e-07,-0.6810151545461212,3.4226615443841763e-25,-0.8138079457437346,1.231111409689069e-42,0.7403244286881228,1.1848075771823296e-31,4.176732440139892,4.693198857371211e-05
Slovene random(geometric length),-0.5115418476498648,0.00010629481984101472,-0.38595136400520985,0.0,-0.7765140136997344,6.38253847416679e-18,-0.8277583559187182,4.981809119775028e-22,0.9387112164877237,3.2087390376689635e-39,2.330984647771153,0.02227276408405313,-0.6573284831971509,6.482983465937688e-20,-0.8311868201100546,1.4634475848742002e-39,0.7830350568216585,2.5069484703361313e-32,5.690367071542054,6.642217377975343e-08
German random(geometric length),-0.5837191405698957,3.60512694159856e-06,-0.3788706041536383,0.0,-0.44769893741308203,3.5193049217721377e-05,-0.8931043578156754,1.9551445427305005e-28,0.5759348865101405,2.8043150222755835e-08,8.97493065606912,1.4909291635064153e-13,-0.6816335894799135,9.578750749751943e-24,-0.8537900595458746,8.713957826037701e-48,0.7517435304757047,4.231425707754198e-31,5.883416896813455,2.2593523144470823e-08
Dutch random(geometric length),-0.6279034837774119,6.272900607724252e-07,-0.3861890211270208,0.0,-0.5779834568364355,2.445717623723131e-09,-0.8198466415513861,5.0373683240849705e-23,0.7711461835449948,6.051327495193314e-19,5.8254254015067035,9.400113196022418e-08,-0.7288514462253612,4.134595899985863e-29,-0.8467254785746395,2.332793413642062e-47,0.8133401713200658,6.770939152827271e-41,4.648622843548415,6.808291271720296e-06
Chinantec random(geometric length),-0.49467430270360446,0.0001064693724230536,-0.36176904130207516,0.0,-0.5567786006670227,1.2532448442104402e-10,-0.6148050551961595,3.422952371534821e-13,0.4105050780113752,5.725077757427244e-06,0.7577454741165414,0.4502090580363588,-0.541926442066437,9.735651456082071e-17,-0.7204326351672488,1.835468822408001e-33,0.41263871472388247,1.1497676161785147e-09,3.42814458466847,0.0007392155114983608
Afrikaans random(geometric length),-0.5853067803599822,1.933108564380523e-05,-0.402742640706902,0.0,-0.6410863933047692,1.0005134144713445e-11,-0.8940871884732153,1.902018034443737e-32,0.7451258885630704,3.7252840903017807e-17,7.214200895601988,1.8983576770358055e-10,-0.7313752380035328,1.4232728664246238e-31,-0.8310736701247574,1.7590679001641892e-47,0.8032019826988668,3.9773895675349515e-42,3.84340802265646,0.00016868602399920706
Lithuanian random(geometric length),-0.5245576467104303,2.0023861341959442e-05,-0.35004265717139593,0.0,-0.6462080417455274,3.24427882056308e-08,-0.8623101043872956,1.7342902189007863e-18,0.6222369690388144,1.4327640162228336e-07,3.6419894691355377,0.000592222948316153,-0.6875067203655411,4.2358234889945394e-18,-0.8498305000927254,1.2985895974676394e-34,0.6455139019145664,1.7313684002291965e-15,4.036476716327995,9.722964068465722e-05
Spanish random(geometric length),-0.603351981388458,3.522343940097185e-06,-0.3856167444084749,0.0,-0.5269859286839196,6.060167822984073e-07,-0.8997416652163842,1.882614962835182e-29,0.5620181349083039,7.068182663395983e-08,7.398313361325352,1.5479826199163978e-10,-0.6500131824289731,1.1536645825619078e-21,-0.835350445433414,2.9532517262912443e-45,0.6778371840472541,4.433429319099011e-24,5.377252254558895,2.53325592300616e-07
Croatian random(geometric length),-0.5302405257970843,0.00010607249372591905,-0.39070618818282,0.0,-0.6810303156979961,4.9771992368000366e-12,-0.8036967989076258,4.889094478553866e-19,0.7424403973829028,4.848727218487891e-15,2.5241282133889555,0.013684737827817116,-0.6194057111672178,1.6292914727386654e-16,-0.8197034831956855,6.145884676778795e-36,0.6725173813692588,3.661463918761515e-20,5.052165495884625,1.3404835610154601e-06
Czech random(geometric length),-0.5115418476498648,0.00010629481984101472,-0.3631046016625002,0.0,-0.6475029030405316,7.906090268681908e-10,-0.4601970032338541,4.757495818392326e-05,0.4662731505472174,3.658766477572581e-05,-1.9813276200410601,0.051540833451831206,-0.5639086673264675,1.640940579226829e-11,-0.7783665076610067,8.153355402810283e-26,0.42088051985689173,1.5333557822970486e-06,3.518192718981994,0.0006179060523015197
Maori random(geometric length),-0.6556508589031877,3.275048806241014e-06,-0.4459957674710449,0.0,-0.11531234145982867,0.2581966315641161,-0.899658448926557,2.523842388157995e-36,0.10582954210149417,0.2996739681366171,10.776794526106254,3.655784266000647e-18,-0.6523060844612782,3.598719045106004e-28,-0.8337623003058554,2.066654221747157e-58,0.637676374266047,1.2672388169213208e-26,5.724788904385106,3.403612329126577e-08
Cabecar random(geometric length),-0.5853067803599822,1.933108564380523e-05,-0.3976739525638089,0.0,-0.34780440221635806,0.0007299002319389383,-0.8540947839092924,5.318496429484316e-27,0.35250595498378157,0.0006105018439357381,7.346320733502503,9.811665475995219e-11,-0.7292260307948376,8.281916977268596e-32,-0.8235776741621927,1.0838556448701773e-46,0.6249394781519457,2.5192321840734886e-21,2.810188059673788,0.005496191899282722
Cakchiquel random(geometric length),-0.5595732051713176,1.9645254343007748e-05,-0.38453651739967154,0.0,-0.5936443788657407,6.569151913531171e-12,-0.8934956923656947,1.077883561820876e-39,0.6063218028934351,1.7624386774564976e-12,7.426810388126105,2.7315267124524852e-11,-0.7291217277643222,6.358681889324479e-39,-0.8299681222899998,5.821110483540168e-59,0.7632358973651283,1.4514528908693442e-44,4.012505906481266,8.192065621935838e-05
Aguaruna random(geometric length),-0.520610127718113,3.839240641125407e-06,-0.3396531847280959,0.0,-0.4950489524559731,1.1397938063369986e-05,-0.8533102732838661,3.408629779092972e-21,0.5401745787965455,1.1621153742374211e-06,5.619555700559342,3.8772656751503143e-07,-0.7244454031597853,9.950507313372317e-24,-0.8393466077462712,8.067835173651707e-38,0.7383352145462386,5.003681535397782e-25,3.4675220953730967,0.0007050831270549583
Wolaytta random(geometric length),-0.4824206790789041,2.041521998009551e-05,-0.3317837697640448,0.0,-0.5678446273786834,9.9019725852262e-07,-0.7763482436711796,4.8048826211250846e-14,0.6483208198429561,6.952296691674778e-09,3.0454700975438342,0.003428118403622071,-0.7148213134270683,7.812725123389752e-21,-0.8307724019364293,4.345780650333309e-33,0.7196241114197923,3.243650741061626e-21,3.1496100391084383,0.0020562952078314605
Quichua random(geometric length),-0.5016718460790135,3.900930073808079e-06,-0.32568758233117273,0.0,-0.458900052748165,0.00037477393073864627,-0.8089678648695657,4.595170475659175e-14,0.44518797806957106,0.0005859861091376336,3.9526633476707396,0.0002302652390357534,-0.7160893586201201,5.498719520080915e-20,-0.82473709701162,9.660213090701036e-31,0.6613961002974075,2.670197421240585e-16,2.648761188498025,0.009204058475918847
Mam random(geometric length),-0.5327004498315286,1.9940457904969573e-05,-0.37746036992663906,0.0,-0.7228304623877997,4.3461139515308094e-17,-0.7791395123434941,3.49124335510631e-21,0.7505478677341251,5.736696921229567e-19,1.2966225968815999,0.1979017470589508,-0.6434806500196169,2.6300096989783437e-22,-0.7710800277250598,1.547700417718491e-36,0.6897128393500525,1.31394108561763e-26,3.415847952288187,0.0007895421663644174
Norwegian random(geometric length),-0.614856715412465,1.8927113736262775e-05,-0.4145786927028223,0.0,-0.6114253430937938,1.11081566184812e-11,-0.8357417171951933,1.60838386313837e-27,0.7366267947084026,1.6443345364280128e-18,5.479915439325652,3.302190964946643e-07,-0.6228712997056789,1.2842909690651625e-20,-0.8207569431292794,6.666606124129677e-45,0.7416198051626308,1.638734129713564e-32,6.302248350530575,2.284823353002688e-09
Lukpa random(geometric length),-0.6025216315790567,1.910175822356219e-05,-0.4113823147990195,0.0,-0.5757735750316928,1.3135570718338104e-10,-0.8249876533709543,2.8120531013332163e-27,0.7981472345346246,2.1030315675459685e-24,7.160998890466345,1.2742588506455758e-10,-0.7080148499054038,3.953148945433497e-31,-0.8433025648019637,3.2694652336968176e-54,0.8440914221256214,2.0868384678856372e-54,6.221063285504835,3.0015339892878404e-09
Paite random(geometric length),-0.6085697518420898,3.49947002676336e-06,-0.4076793069106493,0.0,-0.2536591024731675,0.017095269946062447,-0.8863946661953148,1.655046770548699e-30,0.3128882177192431,0.0029965661800089604,9.563309547294494,3.9111354645275835e-15,-0.725016772625325,1.7767946785756766e-30,-0.8463576964523173,2.654538541913661e-50,0.702543742668993,6.002805894397376e-28,4.046993609335939,7.758663849574221e-05
Greek random(geometric length),-0.5548156184972378,1.9699851054968363e-05,-0.37908189961893335,0.0,-0.7613209706885645,2.463410397274941e-16,-0.8258655029287373,4.2353186292774395e-21,0.7652452445647518,1.4005426259950184e-16,1.5424713565125046,0.12705907907866876,-0.6756001279919363,6.209670064134215e-21,-0.7851311980355928,5.654567531732449e-32,0.7155411110449289,2.363723698936278e-24,2.8669765054990233,0.004766546739737477
Indonesian random(geometric length),-0.5418392230078435,3.7655880037864373e-06,-0.36238231812964034,0.0,-0.38662443522833423,0.00039641164487619026,-0.7931487253031956,1.7935222933602562e-18,0.5090706796366324,1.421607057639769e-06,5.709306720231867,2.0240123595118782e-07,-0.7117973376185793,1.25662129599178e-24,-0.8382929712822528,4.357265794867774e-41,0.7382731347892055,2.9008365759790186e-27,3.949943387707972,0.00012057664862648525
Cebuano random(geometric length),-0.5932976057640708,3.5653760320538667e-06,-0.38610200938122413,0.0,-0.302822199684159,0.0037184206282736758,-0.7679823902905468,1.027470594275401e-18,0.5500076261059393,1.9647526468607246e-08,7.1599582218230475,2.4353124051180154e-10,-0.729215681264256,3.7946144795736754e-30,-0.8041691916093603,1.0434122704177462e-40,0.7586639901544682,7.814539505199183e-34,2.4577418018520953,0.01497869647280722
Hungarian random(geometric length),-0.49467430270360446,0.0001064693724230536,-0.3624632905064459,0.0,-0.6938392530804203,1.8891292234462616e-12,-0.7564420460902017,1.1593976583854856e-15,0.7952440191402791,3.4682289361490478e-18,1.3221396057215555,0.19013983435863818,-0.6002410412793654,1.1341096980878577e-14,-0.8295215366203152,1.0370178568392471e-35,0.6483663286385332,1.4194475738565412e-17,5.538870179484842,1.568104240348382e-07
Italian random(geometric length),-0.5595732051713176,1.9645254343007748e-05,-0.38306076764529745,0.0,-0.6542699153187216,3.50081008743715e-11,-0.8821702622298301,1.47326379440181e-27,0.6487567747301595,5.777967739180858e-11,4.9889056246373995,3.6001313461519743e-06,-0.6578431346832946,8.050472985895654e-22,-0.7932066550277199,6.044471156540942e-37,0.6968847048632504,2.612038442793975e-25,3.670503513085595,0.0003282303076577083
Esperanto random(geometric length),-0.569460897942707,1.952839148100274e-05,-0.3943213145393504,0.0,-0.6685331094047436,8.140949081879908e-13,-0.8535289776249596,2.3231992817990208e-26,0.7584912177223019,7.389771642386537e-18,4.6664668700160306,1.1168348421799303e-05,-0.6415176176657459,2.149700625503651e-20,-0.8183893189743504,8.078768689478377e-41,0.7285172152515519,2.0723247999899235e-28,5.245844660569252,4.838703417683297e-07
Tagalog random(geometric length),-0.5884511826719374,3.585638069213368e-06,-0.389091686809868,0.0,-0.34653145897664556,0.0009417171079262193,-0.745052667487501,8.560667829232502e-17,0.43909018612019757,1.872311407453571e-05,5.026712762409679,2.7332387485225815e-06,-0.7182980372272865,1.5494533040163524e-29,-0.7667687014421074,1.021558272371569e-35,0.621184217771653,2.2308142859269217e-20,1.2618159683441401,0.20869421573917593
Portuguese random(geometric length),-0.5644532247912053,1.9588158635478935e-05,-0.38458834680983844,0.0,-0.34233228288850853,0.0017588156447003371,-0.8990945238115147,4.507199652126166e-30,0.40664244793084464,0.0001651832893183152,9.252584760843623,3.4946113553522144e-14,-0.641585681990771,1.3891220450742862e-19,-0.8387964420074766,8.998101406703815e-43,0.6430656756470863,1.0785243651605763e-19,5.292023253208202,4.095611022341382e-07
